"","id","accession_number","artist","artistRole","artistId","title","dateText","medium","creditLine","year","acquisitionYear","dimensions","width","height","depth","units","inscription","thumbnailCopyright","thumbnailUrl","url"
"17639",42199,"D14837","Turner, Joseph Mallord William","artist",558,"Interior, Church","1828–9","Graphite on paper","Accepted by the nation as part of the Turner Bequest 1856","1828",1856,"support: 97 x 132 mm","97","132",NA,"mm","","","http://www.tate.org.uk/art/images/work/D/D14/D14837_8.jpg","http://www.tate.org.uk/art/artworks/turner-interior-church-d14837"
"17102",41662,"D14299","Turner, Joseph Mallord William","artist",558,"Five Sketches of Views from the Simplon Road; Including One of Vogogna","1819","Graphite on paper","Accepted by the nation as part of the Turner Bequest 1856","1819",1856,"support: 186 x 111 mm","186","111",NA,"mm","","","http://www.tate.org.uk/art/images/work/D/D14/D14299_8.jpg","http://www.tate.org.uk/art/artworks/turner-five-sketches-of-views-from-the-simplon-road-including-one-of-vogogna-d14299"
"23924",48536,"D21193","Turner, Joseph Mallord William","artist",558,"View along Coast","c.1828","Graphite on paper","Accepted by the nation as part of the Turner Bequest 1856","1828",1856,"support: 179 x 113 mm","179","113",NA,"mm","","","http://www.tate.org.uk/art/images/work/D/D21/D21193_8.jpg","http://www.tate.org.uk/art/artworks/turner-view-along-coast-d21193"
"48606",10213,"P06389","Moore, Henry, OM, CH","artist",1659,"Two Reclining Figures on Striped Background","1973","Lithograph on paper","Presented by Curwen Studio through the Institute of Contemporary Prints 1975","1973",1975,"image: 464 x 337 mm","464","337",NA,"mm","date inscribed","© The Henry Moore Foundation; All rights reserved DACS 2014","http://www.tate.org.uk/art/images/work/P/P06/P06389_8.jpg","http://www.tate.org.uk/art/artworks/moore-two-reclining-figures-on-striped-background-p06389"
"8184",32723,"D05331","Turner, Joseph Mallord William","artist",558,"Blank","1804","","Accepted by the nation as part of the Turner Bequest 1856","1804",1856,"support: 166 x 112 mm","166","112",NA,"mm","","","","http://www.tate.org.uk/art/artworks/turner-blank-d05331"
"17027",41587,"D14224","Turner, Joseph Mallord William","artist",558,"Sketches from the Road between Turin and Bofflora; One with Distant Alps","1819","Graphite on paper","Accepted by the nation as part of the Turner Bequest 1856","1819",1856,"support: 111 x 186 mm","111","186",NA,"mm","","","http://www.tate.org.uk/art/images/work/D/D14/D14224_8.jpg","http://www.tate.org.uk/art/artworks/turner-sketches-from-the-road-between-turin-and-bofflora-one-with-distant-alps-d14224"
"40857",14162,"N00731","Thomson, Rev. John, of Duddingston","artist",549,"Loch-an-Eilean, Rothiemurchus, Inverness-shire","1835","Oil paint on canvas","Bequeathed by Mrs Anne Thomson 1864","1835",1864,"support: 857 x 1327 mm","857","1327",NA,"mm","","","http://www.tate.org.uk/art/images/work/N/N00/N00731_8.jpg","http://www.tate.org.uk/art/artworks/thomson-loch-an-eilean-rothiemurchus-inverness-shire-n00731"
"57201",5916,"T01752","Hayter, Stanley William","artist",1257,"Untitled","1946","Oil paint on canvas","Presented by Robert Jay Wolff 1973","1946",1973,"support: 1016 x 1270 mm frame: 1044 x 1297 x 50 mm","1016","1270",NA,"mm","date inscribed","© ADAGP, Paris and DACS, London 2014","http://www.tate.org.uk/art/images/work/T/T01/T01752_8.jpg","http://www.tate.org.uk/art/artworks/hayter-untitled-t01752"
"51921",101299,"P13115","Lange, Dorothea","artist",9075,"Migrant Mother, Nipomo, California","1935, printed c.1950","Photograph, gelatin silver print on paper","Accepted by HM Government in lieu of inheritance tax from the Estate of Barbara Lloyd and allocated to Tate 2009","1935",2010,"unconfirmed: 355 x 280 mm","355","280",NA,"mm","","","","http://www.tate.org.uk/art/artworks/lange-migrant-mother-nipomo-california-p13115"
"15328",39881,"D12513","Turner, Joseph Mallord William","artist",558,"Sheep Washing, Salt Hill, Windsor","c.1816–18","Watercolour on paper","Accepted by the nation as part of the Turner Bequest 1856","1816",1856,"support: 125 x 247 mm","125","247",NA,"mm","","","http://www.tate.org.uk/art/images/work/D/D12/D12513_8.jpg","http://www.tate.org.uk/art/artworks/turner-sheep-washing-salt-hill-windsor-d12513"
"45623",2347,"P02272","Cohen, Bernard","artist",924,"New Mexico 4","1969–70","Lithograph on paper","Presented by the artist 1976","1969",1976,"image: 613 x 616 mm","613","616",NA,"mm","date inscribed","© Bernard Cohen","http://www.tate.org.uk/art/images/work/P/P02/P02272_8.jpg","http://www.tate.org.uk/art/artworks/cohen-new-mexico-4-p02272"
"6144",30672,"D03276","Turner, Joseph Mallord William","artist",558,"A Group of Buildings Seen beyond Trees and a Field; The Solway Firth in the Left Distance","1801","Graphite on paper","Accepted by the nation as part of the Turner Bequest 1856","1801",1856,"support: 182 x 114 mm","182","114",NA,"mm","","","http://www.tate.org.uk/art/images/work/D/D03/D03276_8.jpg","http://www.tate.org.uk/art/artworks/turner-a-group-of-buildings-seen-beyond-trees-and-a-field-the-solway-firth-in-the-left-d03276"
"6006",30534,"D03138","Turner, Joseph Mallord William","artist",558,"[blank]","1801","","Accepted by the nation as part of the Turner Bequest 1856","1801",1856,"support: 182 x 114 mm","182","114",NA,"mm","","","","http://www.tate.org.uk/art/artworks/turner-blank-d03138"
"19589",44155,"D16799","Turner, Joseph Mallord William","artist",558,"Blank","c.1819","","Accepted by the nation as part of the Turner Bequest 1856","1819",1856,"support: 115 x 94 mm","115","94",NA,"mm","","","","http://www.tate.org.uk/art/artworks/turner-blank-d16799"
"3639",28157,"D00742","Turner, Joseph Mallord William","artist",558,"Blank","1796","","Accepted by the nation as part of the Turner Bequest 1856","1796",1856,"support: 110 x 129 mm","110","129",NA,"mm","","","","http://www.tate.org.uk/art/artworks/turner-blank-d00742"
"57563",1167,"T02119","Blake, William","artist",39,"Thenot, with Colinet Waving his Arms in Sorrow","1821, reprinted 1977","Wood engraving on paper","Presented by British Museum Publications Ltd 1977","1821",1977,"image: 36 x 73 mm","36","73",NA,"mm","","","http://www.tate.org.uk/art/images/work/T/T02/T02119_8.jpg","http://www.tate.org.uk/art/artworks/blake-thenot-with-colinet-waving-his-arms-in-sorrow-t02119"
"10442",34990,"D07601","Turner, Joseph Mallord William","artist",558,"A Tree, and Notes on the Geology of the South Coast (Inscription by Turner)","c.1809–14","Graphite on paper","Accepted by the nation as part of the Turner Bequest 1856","1809",1856,"support: 110 x 88 mm","110","88",NA,"mm","","","http://www.tate.org.uk/art/images/work/D/D07/D07601_8.jpg","http://www.tate.org.uk/art/artworks/turner-a-tree-and-notes-on-the-geology-of-the-south-coast-inscription-by-turner-d07601"
"65577",24303,"T10211","Flaxman, John","artist",186,"[title not known]","date not known","Graphite on paper","Purchased as part of the Oppé Collection with assistance from the National Lottery through the Heritage Lottery Fund 1996","",1997,"support: 110 x 141 mm","110","141",NA,"mm","","","http://www.tate.org.uk/art/images/work/T/T10/T10211_8.jpg","http://www.tate.org.uk/art/artworks/flaxman-title-not-known-t10211"
"60891",17240,"T05463","Turner, Joseph Mallord William","after",558,"Watchet","1820","Intaglio print on paper","Purchased 1988","1820",1988,"image: 158 x 240 mm","158","240",NA,"mm","","","http://www.tate.org.uk/art/images/work/T/T05/T05463_8.jpg","http://www.tate.org.uk/art/artworks/turner-watchet-t05463"
"51756",80926,"P12414","Walker, John","artist",2116,"[no title]","1998","Etching on paper","Presented by Tyler Graphics Ltd in honour of Pat Gilmour, Tate Print Department 1974-7, 2004","1998",2004,"image: 170 x 134 mm","170","134",NA,"mm","","© John Walker","http://www.tate.org.uk/art/images/work/P/P12/P12414_8.jpg","http://www.tate.org.uk/art/artworks/walker-no-title-p12414"
"17342",41902,"D14540","Turner, Joseph Mallord William","artist",558,"The Piazza del Nettuno; Also Arcade to Madonna del ... [Turner] (?Madonna di San Luca)","1819","Graphite on paper","Accepted by the nation as part of the Turner Bequest 1856","1819",1856,"support: 111 x 184 mm","111","184",NA,"mm","","","http://www.tate.org.uk/art/images/work/D/D14/D14540_8.jpg","http://www.tate.org.uk/art/artworks/turner-the-piazza-del-nettuno-also-arcade-to-madonna-del-turner-madonna-di-san-luca-d14540"
"53471",21945,"P77971","Baselitz, Georg","artist",699,"[no title]","1995","Drypoint on paper","Purchased 1997","1995",1997,"image: 290 x 178 mm mount: 562 x 409 x 4 mm","290","178",NA,"mm","","© Georg Baselitz","http://www.tate.org.uk/art/images/work/P/P77/P77971_8.jpg","http://www.tate.org.uk/art/artworks/baselitz-no-title-p77971"
"24483",49095,"D21753","Turner, Joseph Mallord William","artist",558,"River, with Town and Bridge; Also Building on Hill in Mid-Distance","1828–9","Graphite on paper","Accepted by the nation as part of the Turner Bequest 1856","1828",1856,"support: 144 x 90 mm","144","90",NA,"mm","","","http://www.tate.org.uk/art/images/work/D/D21/D21753_8.jpg","http://www.tate.org.uk/art/artworks/turner-river-with-town-and-bridge-also-building-on-hill-in-mid-distance-d21753"
"45222",13880,"P01870","Stevens, Norman","artist",1998,"Lane","1976","Intaglio print on paper","Presented by Christie's Contemporary Art 1979","1976",1979,"image: 340 x 311 mm","340","311",NA,"mm","date inscribed","","","http://www.tate.org.uk/art/artworks/stevens-lane-p01870"
"4722",29249,"D01845","Turner, Joseph Mallord William","artist",558,"[blank]","1798","","Accepted by the nation as part of the Turner Bequest 1856","1798",1856,"support: 214 x 140 mm","214","140",NA,"mm","","","","http://www.tate.org.uk/art/artworks/turner-blank-d01845"
"41539",13434,"N02260","Sims, Charles","artist",1944,"The Fountain","1907–8","Oil paint on canvas","Presented by the Trustees of the Chantrey Bequest 1908","1907",1908,"support: 1022 x 1276 mm","1022","1276",NA,"mm","","","http://www.tate.org.uk/art/images/work/N/N02/N02260_8.jpg","http://www.tate.org.uk/art/artworks/sims-the-fountain-n02260"
"59145",1487,"T03710","Bridgewater, Alan","artist",810,"Inscription ‘Remember Jane Snowfield’","1927","Stone","Transferred from the Victoria & Albert Museum 1983","1927",1983,"object: 270 x 540 x 70 mm","270","540",70,"mm","","","","http://www.tate.org.uk/art/artworks/bridgewater-inscription-remember-jane-snowfield-t03710"
"43162",1496,"N04811","British School 16th century","artist",56,"Portrait of a Lady","1576","Oil paint on wood","Presented by Mrs Willingham-Rawnsley 1935","1576",1935,"support: 743 x 464 mm","743","464",NA,"mm","date inscribed","","http://www.tate.org.uk/art/images/work/N/N04/N04811_8.jpg","http://www.tate.org.uk/art/artworks/british-school-16th-century-portrait-of-a-lady-n04811"
"65469",24071,"T10103","British School 18th century","artist",59,"Portrait of a Woman, Full Face, Head and Shoulders","date not known","Chalk on paper","Purchased as part of the Oppé Collection with assistance from the National Lottery through the Heritage Lottery Fund 1996","",1997,"support: 212 x 185 mm","212","185",NA,"mm","","","http://www.tate.org.uk/art/images/work/T/T10/T10103_8.jpg","http://www.tate.org.uk/art/artworks/british-school-18th-century-portrait-of-a-woman-full-face-head-and-shoulders-t10103"
"12169",36721,"D09342","Turner, Joseph Mallord William","artist",558,"?The Hamoaze Seen through Woodland","1813","Graphite on paper","Accepted by the nation as part of the Turner Bequest 1856","1813",1856,"support: 95 x 157 mm","95","157",NA,"mm","","","http://www.tate.org.uk/art/images/work/D/D09/D09342_8.jpg","http://www.tate.org.uk/art/artworks/turner-the-hamoaze-seen-through-woodland-d09342"
"3287",27796,"D00381","Turner, Joseph Mallord William","artist",558,"The Tower and Porch of Lee Church, Kent","1793–4","Graphite on paper","Accepted by the nation as part of the Turner Bequest 1856","1793",1856,"support: 135 x 122 mm","135","122",NA,"mm","","","http://www.tate.org.uk/art/images/work/D/D00/D00381_8.jpg","http://www.tate.org.uk/art/artworks/turner-the-tower-and-porch-of-lee-church-kent-d00381"
"54477",85046,"P79140","Kippenberger, Martin","artist",6711,"Martin Kippenberger","1990","Lithograph on paper","Purchased 2005","1990",2005,"image: 878 x 588 mm","878","588",NA,"mm","","© Estate Martin Kippenberger/Galerie Gisela Capitain, Cologne","http://www.tate.org.uk/art/images/work/P/P79/P79140_8.jpg","http://www.tate.org.uk/art/artworks/kippenberger-martin-kippenberger-p79140"
"35056",59696,"D32493","Turner, Joseph Mallord William","artist",558,"Shipping","1835","Graphite on paper","Accepted by the nation as part of the Turner Bequest 1856","1835",1856,"support: 153 x 95 mm","153","95",NA,"mm","","","http://www.tate.org.uk/art/images/work/D/D32/D32493_8.jpg","http://www.tate.org.uk/art/artworks/turner-shipping-d32493"
"140",1924,"A00140","Callow, William","artist",79,"Coburg","1863","Graphite on paper","Purchased 1912","1863",1912,"support: 254 x 349 mm","254","349",NA,"mm","date inscribed","","http://www.tate.org.uk/art/images/work/A/A00/A00140_8.jpg","http://www.tate.org.uk/art/artworks/callow-coburg-a00140"
"53167",20995,"P77659","McKeever, Ian","artist",2335,"[no title]","1993","Woodcut on paper","Purchased 1994","1993",1994,"image: 505 x 762 mm","505","762",NA,"mm","","© Ian McKeever","http://www.tate.org.uk/art/images/work/P/P77/P77659_8.jpg","http://www.tate.org.uk/art/artworks/mckeever-no-title-p77659"
"63755",22716,"T08389","Dance-Holland, Sir Nathaniel","artist",136,"Table Manners","date not known","Graphite and ink on paper","Purchased as part of the Oppé Collection with assistance from the National Lottery through the Heritage Lottery Fund 1996","",1996,"support: 176 x 174 mm","176","174",NA,"mm","","","http://www.tate.org.uk/art/images/work/T/T08/T08389_8.jpg","http://www.tate.org.uk/art/artworks/dance-holland-table-manners-t08389"
"41620",10440,"N02360","Müller, William James","artist",391,"Diane Chasseresse","1840","Watercolour and gouache on paper","Presented by Lady Weston as part of the Sir Joseph Weston Gift 1908","1840",1908,"support: 278 x 442 mm","278","442",NA,"mm","date inscribed","","http://www.tate.org.uk/art/images/work/N/N02/N02360_8.jpg","http://www.tate.org.uk/art/artworks/muller-diane-chasseresse-n02360"
"39565",64232,"D40482","De Loutherbourg, Philip James","artist",145,"[inscriptions not by Turner]","date not known","Pen and ink and graphite on paper","Accepted by the nation as part of the Turner Bequest 1856","",1856,"support: 80 x 123 mm","80","123",NA,"mm","","","http://www.tate.org.uk/art/images/work/D/D40/D40482_8.jpg","http://www.tate.org.uk/art/artworks/de-loutherbourg-inscriptions-not-by-turner-d40482"
"34999",59639,"D32426","Turner, Joseph Mallord William","artist",558,"Boats in Canal","1840","Graphite on paper","Accepted by the nation as part of the Turner Bequest 1856","1840",1856,"support: 149 x 89 mm","149","89",NA,"mm","","","http://www.tate.org.uk/art/images/work/D/D32/D32426_8.jpg","http://www.tate.org.uk/art/artworks/turner-boats-in-canal-d32426"
"67131",78445,"T11765","Hamilton Finlay, Ian","artist",1093,"U.S.S. Enterprise","1975–6","Screenprint on ceramic tile","Bequeathed by David Brown in memory of Mrs Liza Brown 2003","1975",2003,"object: 153 x 153 x 6 mm, 0.2 kg","153","153",6,"mm","","","","http://www.tate.org.uk/art/artworks/hamilton-finlay-uss-enterprise-t11765"
"15605",40158,"D12790","Turner, Joseph Mallord William","artist",558,"(1) Houses (?near the Landing-Stage at Remagen); (2) ?Shrine and the Apollinarisberg outside Remagen; (3) Gateway","1817","Graphite on paper","Accepted by the nation as part of the Turner Bequest 1856","1817",1856,"support: 150 x 94 mm","150","94",NA,"mm","","","http://www.tate.org.uk/art/images/work/D/D12/D12790_8.jpg","http://www.tate.org.uk/art/artworks/turner-1-houses-near-the-landing-stage-at-remagen-2-shrine-and-the-apollinarisberg-outside-d12790"
"42486",12930,"N03953","Rothenstein, Sir William","artist",1874,"The Princess Badroulbadour","1908","Oil paint on canvas","Presented by the Trustees of the Chantrey Bequest 1924","1908",1924,"support: 1410 x 1194 mm frame: 1640 x 1430 x 120 mm","1410","1194",NA,"mm","","© The estate of Sir William Rothenstein. All Rights Reserved 2010 / Bridgeman Art Library","http://www.tate.org.uk/art/images/work/N/N03/N03953_8.jpg","http://www.tate.org.uk/art/artworks/rothenstein-the-princess-badroulbadour-n03953"
"3202",27710,"D00294","Turner, Joseph Mallord William","artist",558,"Study of a Small Tree and Weeds","c.1794","Graphite on paper","Accepted by the nation as part of the Turner Bequest 1856","1794",1856,"support: 152 x 99 mm","152","99",NA,"mm","","","http://www.tate.org.uk/art/images/work/D/D00/D00294_8.jpg","http://www.tate.org.uk/art/artworks/turner-study-of-a-small-tree-and-weeds-d00294"
"61340",19646,"T05914","Turner, Joseph Mallord William","after",558,"Swansea, engraved by Rothwell","published 1795","Engraving on paper","Transferred from the British Museum 1988","1795",1988,"","","",NA,"","","","http://www.tate.org.uk/art/images/work/T/T05/T05914_8.jpg","http://www.tate.org.uk/art/artworks/turner-swansea-engraved-by-rothwell-t05914"
"566",7599,"A00569","Jones, George","artist",300,"[title not known]","date not known","Watercolour and graphite on paper","Presented by the artist's widow 1888","",1888,"","","",NA,"","","","http://www.tate.org.uk/art/images/work/A/A00/A00569_8.jpg","http://www.tate.org.uk/art/artworks/jones-title-not-known-a00569"
"11216",35767,"D08380","Turner, Joseph Mallord William","artist",558,"Printed Title Page of Coltman’s ‘British Itinerary’","1811","Engraving on paper","Accepted by the nation as part of the Turner Bequest 1856","1811",1856,"support: 117 x 75 mm","117","75",NA,"mm","","","http://www.tate.org.uk/art/images/work/D/D08/D08380_8.jpg","http://www.tate.org.uk/art/artworks/turner-printed-title-page-of-coltmans-british-itinerary-d08380"
"23469",48079,"D20728","Turner, Joseph Mallord William","artist",558,"Yachts Sailing","c.1827","Graphite on paper","Accepted by the nation as part of the Turner Bequest 1856","1827",1856,"support: 112 x 192 mm","112","192",NA,"mm","","","http://www.tate.org.uk/art/images/work/D/D20/D20728_8.jpg","http://www.tate.org.uk/art/artworks/turner-yachts-sailing-d20728"
"7129",31660,"D04267","Turner, Joseph Mallord William","artist",558,"Arithmetic (Inscription by Turner)","1802","Graphite on paper","Accepted by the nation as part of the Turner Bequest 1856","1802",1856,"support: 112 x 187 mm","112","187",NA,"mm","","","http://www.tate.org.uk/art/images/work/D/D04/D04267_8.jpg","http://www.tate.org.uk/art/artworks/turner-arithmetic-inscription-by-turner-d04267"
"49590",7765,"P07557","Judd, Donald","artist",1378,"[no title]","1980","Aquatint on paper","Purchased 1981","1980",1981,"image: 508 x 635 mm","508","635",NA,"mm","","© Estate of Donald Judd /VAGA, New York/DACS, London 2014","http://www.tate.org.uk/art/images/work/P/P07/P07557_8.jpg","http://www.tate.org.uk/art/artworks/judd-no-title-p07557"
