"","Object.Number","Is.Highlight","Is.Public.Domain","Object.ID","Department","Object.Name","Title","Culture","Period","Dynasty","Reign","Portfolio","Artist.Role","Artist.Prefix","Artist.Display.Name","Artist.Display.Bio","Artist.Suffix","Artist.Alpha.Sort","Artist.Nationality","Artist.Begin.Date","Artist.End.Date","Object.Date","Object.Begin.Date","Object.End.Date","Medium","Dimensions","Credit.Line","Geography.Type","City","State","County","Country","Region","Subregion","Locale","Locus","Excavation","River","Classification","Rights.and.Reproduction","Link.Resource","Metadata.Date","Repository"
"115086","57.137.4a–c","False","True",201995,"European Sculpture and Decorative Arts","Escutcheon","Escutcheon","Spanish","","","","","","","","","","","","","","probably mid-16th century",1530,1565,"Wrought iron with traces of gilding","a) 14 3/8 x 5 1/2 in.  (36.5 x 14.0 cm); H. of b) and c) each 8 15/16 in. (22.7 cm)","Harris Brisbane Dick Fund, 1957","","","","","","","","","","","","Metalwork-Iron","","http://www.metmuseum.org/art/collection/search/201995","2/13/2017 8:00:15 AM","Metropolitan Museum of Art, New York, NY"
"330936","32.24.23","False","True",471086,"The Cloisters","Roundel","Roundel with Annunciation to the Shepherds","North Netherlandish","","","","","","","","","","","","","","1500–1510",1500,1510,"Colorless glass, vitreous paint and silver stain","Overall Diam.: 8 1/2 in. (21.6 cm)","The Cloisters Collection, 1932","Made in","","Haarlem (?)","","North Netherlands","","","","","","","Glass-Stained","","http://www.metmuseum.org/art/collection/search/471086","2/13/2017 8:00:15 AM","Metropolitan Museum of Art, New York, NY"
"174957","1994.258.385","False","False",275831,"Photographs","Negative","[Battlefield Monument of Soldier with Upraised Flag, Vicksburg, Mississippi]","","","","","","Artist","","Walker Evans","American, St. Louis, Missouri 1903–1975 New Haven, Connecticut","","Evans, Walker","American","1903      ","1975      ","February–March 1936",1936,1936,"Film negative","8 x 10 in.","Walker Evans Archive, 1994","","","","","","","","","","","","Negatives","© Walker Evans Archive, The Metropolitan Museum of Art","http://www.metmuseum.org/art/collection/search/275831","2/13/2017 8:00:15 AM","Metropolitan Museum of Art, New York, NY"
"96503","2009.300.5561","False","True",169782,"Costume Institute","Shawl","Shawl","American","","","","","","","","","","","","","","third quarter 19th century",1851,1875,"Wool","","Brooklyn Museum Costume Collection at The Metropolitan Museum of Art, Gift of the Brooklyn Museum, 2009; Gift of Josephine and Henrietta Walker, 1966","","","","","","","","","","","","","","http://www.metmuseum.org/art/collection/search/169782","2/13/2017 8:00:15 AM","Metropolitan Museum of Art, New York, NY"
"6055","46.140.701","False","True",6441,"American Decorative Arts","Plate","Plate","American","","","","","Maker","","Challinor, Taylor and Company","1866–1891","","Challinor, Taylor and Company ","","1866      ","1891      ","1870–90",1870,1890,"Pressed purple marble glass","Diam. 10 3/8 in. (26.4 cm)","Gift of Mrs. Emily Winthrop Miles, 1946","Made in","Tarentum","","","United States","","","","","","","Glass","","http://www.metmuseum.org/art/collection/search/6441","2/13/2017 8:00:15 AM","Metropolitan Museum of Art, New York, NY"
"302973","33.84(1.122)","False","False",430983,"Drawings and Prints","Print collection ornament & architecture","Fireplace topped with a bust of an imperator in a medallion, from Nouveaux dessins de cheminées à peu de frais, plate 5, bound in Oeuvres. Vol. I","","","","","Nouveaux dessins de cheminées à peu de frais","Artist|Publisher","","Jean Le Pautre|Jean Mariette","French, Paris 1618–1682 Paris|French, Saint Benoît 1660–1742 Paris","","Le Pautre, Jean|Mariette, Jean","French|French","1618      |1660      ","1682      |1742      ","17th century",1633,1682,"Etching; second state of two (Préaud)","Sheet: 13 9/16 × 8 1/4 in. (34.5 × 21 cm)
Plate: 7 5/8 × 5 7/16 in. (19.3 × 13.8 cm)","Harris Brisbane Dick Fund, 1933","","Paris","","","","","","","","","","Prints|Ornament & Architecture","","http://www.metmuseum.org/art/collection/search/430983","2/13/2017 8:00:15 AM","Metropolitan Museum of Art, New York, NY"
"328320","23.229.6-13","False","True",466531,"Medieval Art","Fragment","Glass Fragment","French","","","","","","","","","","","","","","16th century",1500,1599,"Colorless glass","Overall: 4 1/8 x 2 3/8 in. (10.5 x 6 cm)","Gift of Dr. Bashford Dean, 1923","","","","","","","","","","","","Glass-Stained","","http://www.metmuseum.org/art/collection/search/466531","2/13/2017 8:00:15 AM","Metropolitan Museum of Art, New York, NY"
"362083","28.3.297","False","True",553719,"Egyptian Art","Papyrus fragments, Book of the Dead","Fragments from a Book of the Dead","","New Kingdom, Ramesside","Dynasty 19–20","","","","","","","","","","","","ca. 1295–1070 B.C.",-1295,-1070,"Papyrus, ink","Framed: H. 28 × L. 38 cm (11 × 14 15/16 in.)","Rogers Fund, 1928","From","","","","Egypt","Upper Egypt, Thebes","Deir el-Bahri","Tomb MMA 801","","MMA excavations, 1927–28","","","","http://www.metmuseum.org/art/collection/search/553719","2/13/2017 8:00:15 AM","Metropolitan Museum of Art, New York, NY"
"219773","63.547.13","False","True",345445,"Drawings and Prints","Drawing","Design for Two Urns","","","","","","Artist|Former Attribution","Formerly attributed to","Anonymous, French, 18th century|Johann Gottlob Matthai","German, Meissen 1753–1832 Dresden","","Anonymous, French, 18th century|Matthai, Johann Gottlob","French|German","1700      |1753      ","1800      |1832      ","ca. 1770–90",1765,1795,"Pen and brown ink, graphite","9 3/16 x 14 15/16 in.  (23.4 x 37.9 cm)","Gift of Raphael Esmerian, 1963","","","","","","","","","","","","Drawings","","http://www.metmuseum.org/art/collection/search/345445","2/13/2017 8:00:15 AM","Metropolitan Museum of Art, New York, NY"
"431476","L.2016.20.2","False","False",715403,"European Sculpture and Decorative Arts","Commode","Commode (one of a pair)","French, Paris","","","","","Maker|Former Attribution","","Jacques Dautriche|Étienne Doirat","French, 1725/28–1778|French, ca. 1675–1732","","Dautriche, Jacques|Doirat, Étienne","","1725      |1670      ","1778      |1732      ","ca. 1770",1765,1775,"Oak with marquetry of tulipwood and  amaranth; gilt bronze and marble","Overall: 34 3/4 × 48 1/2 × 20 1/4 in. (88.3 × 123.2 × 51.4 cm)","Lent by Iris Cantor, 2016","","","","","","","","","","","","Woodwork-Furniture","","http://www.metmuseum.org/art/collection/search/715403","2/13/2017 8:00:15 AM","Metropolitan Museum of Art, New York, NY"
"178048","D.1994.262.1466","False","False",279843,"Photographs","Polaroid","[Rusted Metal Fragment]","","","","","","Artist","","Walker Evans","American, St. Louis, Missouri 1903–1975 New Haven, Connecticut","","Evans, Walker","American","1903      ","1975      ","1973–74",1973,1974,"Instant color print","7.9 x 7.9 cm (3 1/8 x 3 1/8 in.)","Walker Evans Archive, 1994","","","","","","","","","","","","Photographs","© Walker Evans Archive, The Metropolitan Museum of Art","http://www.metmuseum.org/art/collection/search/279843","2/13/2017 8:00:15 AM","Metropolitan Museum of Art, New York, NY"
"334435","CH126","False","False",479372,"The Cloisters","Chess Piece, Pawn","Pawn","Scandinavian","","","","","","","","","","","","","","ca. 1150–1200",1150,1200,"Walrus ivory","Overall: H. 2 5/16 in. (5.9 cm); W. 1 5/16 in. (3.3 cm); D. 7/8 in. (2.3 cm)","On loan from the British Museum, London (1831,1101.126)","Made in","probably Trondheim","","","Norway","","","","","","","Ivories-Walrus","© The Trustees of the British Museum. All rights reserved.","http://www.metmuseum.org/art/collection/search/479372","2/13/2017 8:00:15 AM","Metropolitan Museum of Art, New York, NY"
"265024","29.88.7(2)","False","False",392200,"Drawings and Prints","Print","The New Year – 1869 – Drawn by Winslow Homer (Harper's Weekly, Vol. VIII)","","","","","","Artist|Publisher","","Winslow Homer|Harper's Weekly","American, Boston, Massachusetts 1836–1910 Prouts Neck, Maine|American, 1857–1916","","Homer, Winslow|Harper's Weekly","American|American","1836      |1857      ","1910      |1916      ","January 9, 1869",1869,1869,"Wood engraving","image: 9 x 13 3/4 in. (22.9 x 34.9 cm)
sheet: 10 13/16 x 15 7/8 in. (27.5 x 40.4 cm)","Harris Brisbane Dick Fund, 1928","","","","","","","","","","","","Prints","","http://www.metmuseum.org/art/collection/search/392200","2/13/2017 8:00:15 AM","Metropolitan Museum of Art, New York, NY"
"196060","1979.206.1448","False","False",313637,"Arts of Africa, Oceania, and the Americas","Shield","Shield","Angoram people","","","","","","","","","","","","","","late 19th–early 20th century",1875,1925,"Wood, paint, fiber","H. 64 1/2 x W. 24 x D. 10 in. (163.8 x 61 x 25.4 cm)","The Michael C. Rockefeller Memorial Collection, Bequest of Nelson A. Rockefeller, 1979","","Kanduanum village","","","Papua New Guinea","","","","","","Lower Sepik River","Wood-Implements","","http://www.metmuseum.org/art/collection/search/313637","2/13/2017 8:00:15 AM","Metropolitan Museum of Art, New York, NY"
"342961","61.116.1,2","False","False",489145,"Modern and Contemporary Art","Medal","Pilgrim Family","","","","","","Designer","","Adolph Block","American, 1906–1978","","Block, Adolph","American","1906      ","1978      ","1961",1961,1961,"Bronze","Diam. 2-15/16 inches (each)
(7.5 cm.)
","Gift the The Society of Medalists, 1961","","","","","","","","","","","","Medals and Plaquettes","","http://www.metmuseum.org/art/collection/search/489145","2/13/2017 8:00:15 AM","Metropolitan Museum of Art, New York, NY"
"244177","2005.378.3a, b","False","True",370560,"Drawings and Prints","Drawing","A Seated Apostle (recto); Drapery Study (verso)","","","","","","Artist","","Anonymous, French, 18th century","","","Anonymous, French, 18th century","French","1700      ","1800      ","18th century",1700,1799,"Black chalk on blue paper","sheet: 6 1/4 x 5 1/16 in. (15.9 x 12.9 cm)","Bequest of Donald Posner, 2005","","","","","","","","","","","","Drawings","","http://www.metmuseum.org/art/collection/search/370560","2/13/2017 8:00:15 AM","Metropolitan Museum of Art, New York, NY"
"147616","81.10.68","False","True",245225,"Greek and Roman Art","Jug","Glass jug","Roman","Late Imperial","","","","","","","","","","","","","4th–5th century A.D.",300,499,"Glass","H. 6 1/4 in. (15.9 cm)","Gift of Henry G. Marquand, 1881","","","","","","","","","","","","Glass","","http://www.metmuseum.org/art/collection/search/245225","2/13/2017 8:00:15 AM","Metropolitan Museum of Art, New York, NY"
"322452","2012.357","False","False",457799,"Islamic Art","Painting","Midsummer Night #10","","","","","","Artist","","Marcos Grigorian","Iranian (born Russia), Kropotkin 1925–2007 Yerevan, Armenia","","Grigorian, Marcos","Armenian-Iranian","1925      ","2007      ","1991",1991,1991,"Straw compound on canvas","H. 20 in. (50.8 cm)
W. 19.75 in. (50.2 cm)
D. 3 1/2 in. (8.9 cm)","Purchase, 2011 NoRuz at The Met Benefit, 2012","Country of Origin","","","","USA","","","","","","","Paintings","","http://www.metmuseum.org/art/collection/search/457799","2/13/2017 8:00:15 AM","Metropolitan Museum of Art, New York, NY"
"339583","1990.173ab","False","False",485399,"Modern and Contemporary Art","Vessel","""Tribal Passage"" Vessel","","","","","","Designer","","Concetta Mason","American, born Bridgeport, Connecticut, 1956","","Mason, Concetta","American","1956      ","2056      ","1985",1985,1985,"Glass","H.7, W.8-1/2, D.7 inches
(17.8 x 21.6 x 17.8 cm.)
","Gift of Audrey and Jerome Freedman, 1990","","","","","","","","","","","","Glass","","http://www.metmuseum.org/art/collection/search/485399","2/13/2017 8:00:15 AM","Metropolitan Museum of Art, New York, NY"
"111699","39.70.13","False","True",198406,"European Sculpture and Decorative Arts","Spoon handle section","Section of a spoon handle","French, Toulouse","","","","","","","","","","","","","","1783",1783,1783,"Silver","L. 1-1/2 in. (3.8 cm.)","Gift of Jacques Helft, 1939","","","","","","","","","","","","Metalwork-Silver","","http://www.metmuseum.org/art/collection/search/198406","2/13/2017 8:00:15 AM","Metropolitan Museum of Art, New York, NY"
"426981","Ref.104","False","False",707484,"Drawings and Prints","Book","Romanae Urbis Topographiae & antiquitatum...parts I - IV","","","","","","Engraver|Author","","Theodor de Bry|Jean Jacques Boissard","Netherlandish, Liège 1528–1598 Frankfurt|French, 1528–1602","","Bry, Theodor de|Boissard, Jean Jacques","","1528      |1528      ","1598      |1602      ","1597",1597,1597,"Book with engraved and etched plates","Overall: 12 3/8 x 8 7/16 x 2 3/4 in. (31.5 x 21.5 x 7 cm)","","","","","","","","","","","","","Books","","http://www.metmuseum.org/art/collection/search/707484","2/13/2017 8:00:15 AM","Metropolitan Museum of Art, New York, NY"
"269645","53.600.256","False","False",396920,"Drawings and Prints","Print","Hermits in the Desert (Hermites dans un Desert)","","","","","","Artist|Artist","After","Quentin Pierre Chedel|Jean-Baptiste Marie Pierre","French, Châlons-en-Champagne 1705–1763 Châlons-en-Champagne|French, Paris 1714–1789 Paris","","Chedel, Quentin Pierre|Pierre, Jean-Baptiste Marie","French|French","1705      |1714      ","1763      |1789      ","",1714,1762,"Engraving","sheet: 16 5/8 x 12 13/16 in. (42.3 x 32.6 cm)","Harris Brisbane Dick Fund, 1953","","","","","","","","","","","","Prints","","http://www.metmuseum.org/art/collection/search/396920","2/13/2017 8:00:15 AM","Metropolitan Museum of Art, New York, NY"
"123098","2001.773.2","False","True",211356,"European Sculpture and Decorative Arts","Medal","Liege Colonne du Droit contre La Violence","French","","","","","Maker","","Pierre Roche (pseudonym of Fernand Massignon)","1855–1922","","Roche Pierre","","1855      ","1922      ","1914",1914,1914,"Bronze uniface medal","Diam. 128 mm.","Gift of David and Constance Yates, in memory of Ruth Blumka and Victoria Blumka Nasatir Goldberg, 2001","","","","","","","","","","","","Medals and Plaquettes","","http://www.metmuseum.org/art/collection/search/211356","2/13/2017 8:00:15 AM","Metropolitan Museum of Art, New York, NY"
"292746","17.50.17-371(67)","False","False",420309,"Drawings and Prints","Print","S. Julien, martyr (St. Julian, Martyr), February 27th, from Les Images De Tous Les Saincts et Saintes de L'Année (Images of All of the Saints and Religious Events of the Year)","","","","","Les Images De Tous Les Saincts et Saintes de L'Année","Artist|Publisher","","Jacques Callot|Israël Henriet","French, Nancy 1592–1635 Nancy|French, Nancy ca. 1590–1661 Paris","","Callot, Jacques|Henriet, Israël","French|French","1592      |1590      ","1635      |1661      ","1636",1636,1636,"Etching; second state of two (Lieure)","Sheet: 2 1/2 x 1 15/16 in. (6.4 x 5 cm)","Purchase, Joseph Pulitzer Bequest, 1917","","","","","","","","","","","","Prints","","http://www.metmuseum.org/art/collection/search/420309","2/13/2017 8:00:15 AM","Metropolitan Museum of Art, New York, NY"
"145681","74.51.3851","False","True",243269,"Greek and Roman Art","Earring-loop type, plain","Earring-loop type, plain","","","","","","","","","","","","","","","",-7000,330,"Gold","Other: 1 13/16 x 1 3/4 x 1/8 in. (4.6 x 4.4 x 0.3 cm)","The Cesnola Collection, Purchased by subscription, 1874–76","","","","","","","","","","","","Gold and Silver","","http://www.metmuseum.org/art/collection/search/243269","2/13/2017 8:00:15 AM","Metropolitan Museum of Art, New York, NY"
"63012","2005.411.314","False","False",72891,"Asian Art","Seal","現代   劉一聞   八十八翁   青田凍印|""Eighty-eight-year-old Gentleman"" (Bashiba Weng)","China","","","","","Artist","","Liu Yiwen","Chinese, born 1949","","Liu Yiwen","Chinese","1949      ","2049      ","Dated 1997",1997,1997,"Qingtian soapstone","Overall: H. 2 5/16 in. (5.8 cm); W. 7/8 in. (2.2 cm); D. 13/16 in. (2.1 cm)","Gift of Sarah Shay, 2005","","","","","","","","","","","","Seals","","http://www.metmuseum.org/art/collection/search/72891","2/13/2017 8:00:15 AM","Metropolitan Museum of Art, New York, NY"
"315220","28.89.12","False","True",448204,"Islamic Art","Tile from a frieze","Tile from a Frieze","","","","","","","","","","","","","","","13th–14th century",1200,1399,"Earthenware; glazed","H. 9 1/2 in (24.1cm)
L. 14 in. (35.6 cm)","Gift of Rafael Guastavino, 1928","Attributed to","","","","Iran","","","","","","","Ceramics-Tiles","","http://www.metmuseum.org/art/collection/search/448204","2/13/2017 8:00:15 AM","Metropolitan Museum of Art, New York, NY"
"316648","39.40.106","False","False",449637,"Islamic Art","Ewer","Ewer","","","","","","","","","","","","","","","9th–10th century",800,999,"Earthenware; slip covered and unglazed","","Rogers Fund, 1939","Excavated in","Nishapur","","","Iran","","","","","","","Ceramics","","http://www.metmuseum.org/art/collection/search/449637","2/13/2017 8:00:15 AM","Metropolitan Museum of Art, New York, NY"
"60936","64.68","False","True",70377,"Asian Art","Robe, Imperial Court","","China","Qing dynasty (1644–1911)","","","","","","","","","","","","","first half 19th century",1800,1849,"Silk, metallic thread","54 1/4 x 85 in. (137.79 x 215.90 cm)","Gift of Hattie Belle Johnston, 1963","","","","","","","","","","","","Costumes-Embroidered","","http://www.metmuseum.org/art/collection/search/70377","2/13/2017 8:00:15 AM","Metropolitan Museum of Art, New York, NY"
"24390","38.55.66a, b","False","True",29487,"Arms and Armor","Pair of sword-grip ornaments (Menuki)","Pair of Sword-Grip Ornaments (Menuki)","Japanese","","","","","","","","","","","","","","early–mid-17th century",1601,1675,"Gold","L. of each 1 3/8 in. (3.5 cm); Wt. of each 0.2 oz. (5.7 g)","Purchase, Joseph Pulitzer Bequest, 1938","","","","","","","","","","","","Sword Furniture-Menuki","","http://www.metmuseum.org/art/collection/search/29487","2/13/2017 8:00:15 AM","Metropolitan Museum of Art, New York, NY"
"75669","1974.315.4a–c","False","False",95373,"Costume Institute","Suit","Suit","French","","","","","Designer|Design House","","Cristobal Balenciaga|House of Balenciaga","Spanish, Guetaria, San Sebastian 1895–1972 Javea|French, founded 1937","","Balenciaga, Cristobal|Balenciaga House of","Spanish|French","1895-01-21|1937      ","1972-03-23|9999      ","1963–67",1963,1967,"wool, silk","","Gift of Elizabeth, Duchess of Manchester, 1974","","","","","","","","","","","","","","http://www.metmuseum.org/art/collection/search/95373","2/13/2017 8:00:15 AM","Metropolitan Museum of Art, New York, NY"
"403338","23.106.21","False","False",656644,"Drawings and Prints","Print","Victory: a naked youth standing facing left holding a statue of winged Victory in his right hand","","","","","","Artist","","Mariano Fortuny, 1838–1874","","","Fortuny, Mariano","Spanish","1838      ","1874      ","1869",1869,1869,"Etching","Sheet: 17 15/16 in. × 13 in. (45.5 × 33 cm)
Plate: 10 1/8 × 6 3/8 in. (25.7 × 16.2 cm)","Gift of Junius S. Morgan","","","","","","","","","","","","Prints","","http://www.metmuseum.org/art/collection/search/656644","2/13/2017 8:00:15 AM","Metropolitan Museum of Art, New York, NY"
"317222","40.170.545","False","False",450212,"Islamic Art","Fragment of a waster","Fragment of a Waster","","","","","","","","","","","","","","","11th–12th century",1000,1199,"Earthenware; glazed","H. 2 3/16 in. (5.5 cm)
Diam. 2 5/16 in. (5.8 cm)","Rogers Fund, 1940","Excavated in","Nishapur","","","Iran","","","","","","","Ceramics","","http://www.metmuseum.org/art/collection/search/450212","2/13/2017 8:00:15 AM","Metropolitan Museum of Art, New York, NY"
"54872","CP35","False","True",63327,"Asian Art","Print","","China","","","","","Artist","Original painted by","Wang Meng","Chinese, ca. 1308–1385","","Wang Meng","Chinese","1308      ","1385      ","",0,0,"Polychrome woodblock print; ink and color on paper","9 5/8 x 11 13/16 in. (24.4 x 30 cm)","Rogers Fund, 1924","","","","","","","","","","","","Prints","","http://www.metmuseum.org/art/collection/search/63327","2/13/2017 8:00:15 AM","Metropolitan Museum of Art, New York, NY"
